songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN,84,0.417,0.934,0.000278,0.0015,0.132,0.287,"metal, rock, rap"
52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,https://open.spotify.com/track/52eIcoLUM25zbQupAZYoFh,86,0.625,0.733,0.00598,0.000983,0.375,0.244,rap
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,86,0.943,0.558,0.0026,2.19E-06,0.0937,0.606,"pop, rap"
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,85,0.69,0.521,0.324,0,0.0534,0.494,rap
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,Fetty Wap,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ,74,0.746,0.873,0.0244,0,0.354,0.817,"rap, pop"
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,81,0.732,0.75,0.00264,0,0.109,0.401,rap
4TJUS843fKiqqIzycM74Oy,Should've Been A Cowboy,Toby Keith,https://open.spotify.com/track/4TJUS843fKiqqIzycM74Oy,75,0.618,0.672,0.441,1.49E-06,0.214,0.705,"country, pop, singer-songwriter"
56eGOeSsqdg3FLxdo83TwV,Rumor,Lee Brice,https://open.spotify.com/track/56eGOeSsqdg3FLxdo83TwV,74,0.655,0.56,0.749,0,0.115,0.599,country
7GQjJEwqlp6m5HNWVQd6OR,Good Directions,Billy Currington,https://open.spotify.com/track/7GQjJEwqlp6m5HNWVQd6OR,73,0.716,0.72,0.307,0,0.135,0.48,country
3duP6mBVDsHM8ioN7o7dAK,Boondocks,Little Big Town,https://open.spotify.com/track/3duP6mBVDsHM8ioN7o7dAK,67,0.41,0.78,0.211,0,0.48,0.695,"country, metal, pop, rock"
2bVFvGBU2ihWJgMRPcav5r,Fall Into Me,Emerson Drive,https://open.spotify.com/track/2bVFvGBU2ihWJgMRPcav5r,41,0.501,0.813,0.238,0,0.39,0.595,"country, pop, rock, singer-songwriter"
76I3PmbGZazzNlEwlp1y85,Lone Wolf,Zomboy,https://open.spotify.com/track/76I3PmbGZazzNlEwlp1y85,50,0.502,0.981,0.00177,0.4,0.154,0.208,EDM
