songID,name,artists,link,popularity,danceability,energy,acousticness,instrumentalness,liveness,valence,genres,E_High,E_Avg,E_Low,A_High,A_Avg,A_Low,C_High,C_Avg,C_Low,N_High,N_Avg,N_Low,O_High,O_Avg,O_Low,userTotal
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,85,0.532,0.783,0.0038,0.0012,0.161,0.643,"pop, country, EDM, soul",0.45161290322580644,0.3064516129032258,0.24193548387096775,0.3709677419354839,0.43548387096774194,0.1935483870967742,0.45161290322580644,0.3064516129032258,0.24193548387096775,0.22580645161290322,0.43548387096774194,0.3387096774193548,0.3548387096774194,0.22580645161290322,0.41935483870967744,62
6h5PAsRni4IRlxWr6uDPTP,More Than You Know,Axwell /\ Ingrosso,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP,79,0.646,0.741,0.0275,0.0,0.312,0.571,"EDM, pop",0.5,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.5,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.5,18
0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,76,0.519,0.749,0.271,0.0,0.119,0.29,"country, pop, rock, singer-songwriter, indie",0.5,0.2,0.3,0.2,0.6,0.2,0.4,0.2,0.4,0.6,0.3,0.1,0.3,0.2,0.5,10
7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,Lady A,https://open.spotify.com/track/7GAaTpSoTWUTbP2Yxlt4Hd,72,0.581,0.717,0.0298,0.000185,0.243,0.316,"country, pop, rock, singer-songwriter",0.5172413793103449,0.2413793103448276,0.2413793103448276,0.4482758620689655,0.3793103448275862,0.1724137931034483,0.41379310344827586,0.3793103448275862,0.20689655172413793,0.3103448275862069,0.3793103448275862,0.3103448275862069,0.41379310344827586,0.27586206896551724,0.3103448275862069,29
4aY0tZIaboefmkBEsjAovI,If I Die Young,The Band Perry,https://open.spotify.com/track/4aY0tZIaboefmkBEsjAovI,59,0.606,0.497,0.348,0.0,0.275,0.362,"country, pop",0.4166666666666667,0.3333333333333333,0.25,0.25,0.5833333333333334,0.16666666666666666,0.2916666666666667,0.4583333333333333,0.25,0.3333333333333333,0.375,0.2916666666666667,0.2916666666666667,0.16666666666666666,0.5416666666666666,24
11qh54D0PKkBwelpDxxiEU,Girl Crush,Little Big Town,https://open.spotify.com/track/11qh54D0PKkBwelpDxxiEU,66,0.498,0.225,0.842,0.0,0.112,0.355,"country, pop",0.4,0.4,0.2,0.5,0.2,0.3,0.3,0.5,0.2,0.4,0.3,0.3,0.4,0.0,0.6,10
383Xl5QTigwj3QiA3Qc6S7,The Devil Went Down to Georgia,The Charlie Daniels Band,https://open.spotify.com/track/383Xl5QTigwj3QiA3Qc6S7,67,0.523,0.626,0.155,0.0,0.0869,0.917,"country, rock, pop",0.5,0.0,0.5,0.25,0.75,0.0,0.25,0.25,0.5,1.0,0.0,0.0,0.5,0.25,0.25,4
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,90,0.664,0.5,0.799,0.0,0.0966,0.801,"indie, pop, singer-songwriter",0.7692307692307693,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.15384615384615385,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.38461538461538464,13
6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door,Bob Dylan,https://open.spotify.com/track/6HSXNV0b4M4cLJ7ljgVVeh,78,0.513,0.396,0.251,0.177,0.11,0.229,"rock, singer-songwriter, singer songwriter, soul",0.6428571428571429,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.5,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.0,0.42857142857142855,14
6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,https://open.spotify.com/track/6UkMcAA19lTdjs22jtB7o2,62,0.611,0.47,0.585,0.0,0.58,0.97,"singer-songwriter, rock, pop, singer songwriter, indie",0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,7
